% Model,tin_tegs_model_6_Rcont_2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 6 2024, 15:16"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),T-50 (degC),"Temperature (degC), Point: 43"
0,797.3680199920124,773.0971415787085,862.5494501107204
100,805.7069280947442,771.0068509718162,847.33318294494
200,805.9398431444486,766.0967853146601,833.1897466611109
300,803.0086758341491,759.8513480237453,820.8040841040473
400,797.6550830496531,752.4589666335255,809.5920536463476
500,790.7902565436742,744.8436348263483,799.3342728194824
600,783.2262599388606,737.138760939209,789.5241083296145
700,775.6165884911542,729.4623197188462,779.7880826507443
800,767.4884680999231,722.108613840734,770.8935965547461
900,759.3603477086921,714.754907962622,761.9991104587479
1000,751.2412649321797,707.6039324468823,753.4444625043324
1100,743.1315543620289,700.6631928010211,745.2422342194595
1200,735.0587557673151,693.798563003355,737.1303048242037
1300,727.1799402806383,687.3339124734105,729.4929222136418
1400,719.3222047083899,680.887810270333,721.8870117261109
1500,711.7838187020812,674.7227054192336,714.757887274096
1600,704.2454326957723,668.557600568135,707.6287628220807
1700,697.0603389825975,662.6058217207649,700.9000360509586
1800,689.8884469879249,656.6620143743456,694.1862712180814
1900,683.3553416863318,651.0524499574749,688.0565279250476
2000,676.9210487101127,645.494588748367,682.0171254719933
2100,670.4867557338936,639.9367275392598,675.9777230189388
2200,664.0524627576741,634.3788663301509,669.9383205658844
2300,658.0173323072054,629.0165728296063,664.2235752948845
2400,652.1786719982954,623.7505389048162,658.6686281973147
2500,646.3400116893854,618.4845049800259,653.1136810997446
2600,640.5013513804757,613.2184710552357,647.5587340021746
2700,634.9512109317053,608.1548872048477,642.244503924251
2800,629.7209054616723,603.315726779628,637.1971176012883
2900,624.4905999916396,598.476566354409,632.1497312783254
3000,619.2602945216065,593.6374059291899,627.1023449553624
3100,614.0299890515736,588.7982455039706,622.0549586323995
3200,609.0371114421079,584.1106881400209,617.2048395836919
3300,604.3074314326258,579.5911883990495,612.5733986337347
3400,599.5777514231435,575.071688658079,607.9419576837774
3500,594.8480714136612,570.5521889171081,603.3105167338201
3600,590.1183914041789,566.0326891761379,598.679075783863
3700,585.580505453913,561.6303439595508,594.2055750292803
3800,581.2552303402869,557.3578688836102,589.907156846154
3900,576.9299552266606,553.0853938076702,585.6087386630275
4000,572.6046801130344,548.8129187317294,581.310320479901
4100,568.2794049994083,544.5404436557889,577.0119022967746
4200,564.1090297525739,540.3671687890061,572.8416561672793
4300,560.1103667600637,536.3038610377334,568.8134935187203
4400,556.1117037675534,532.2405532864605,564.7853308701615
4500,552.1130407750433,528.1772455351881,560.7571682216026
4600,548.114377782533,524.1139377839152,556.7290055730437
4700,544.1747501624168,520.1062301097993,552.7537555125488
4800,540.334088435105,516.1917294580626,548.8672072134891
4900,536.538904350081,512.3200600838719,545.0214198964463
5000,532.7891979073453,508.49122198723035,541.2163935614203
