cost,energy_density,material,form
0.39216715655251644,186.2823712717787,Cement,solid
5.8457053116567845,119.04773711116987,Molten Salt,PCM
1.3018355690789027,889.7130246322616,Fe,solid
3.778651820528086,447.1788694039603,Graphite,solid
5.983672077483318,435.7603666062216,Fire Bricks,solid
14.162621444355725,446.63515774134123,Al,PCM
18.383194342504623,255.1259746300895,Mg,PCM
21.235717999777382,218.97707442637727,Si,PCM
65.1753940809756,163.25946763604054,Oil,liquid
66.69245393305842,644.9918948232565,Cu,PCM
323.7568215763816,619.9374387642692,Ni,solid
1490.6157269888522,202.0921233663102,Sn,PCM
9912.751628029793,260.1890141575302,Ga,PCM
